card_id,url_canonical,question,answer,learned,created_at_utc
b8c69722d2e2c1e7,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,What roles are typically included in a core ML team?,"Core ML teams usually consist of Data Scientists, Machine Learning Engineers, and Research Scientists.",True,2025-09-13T18:20:07.518512Z
c691ea0628470b06,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,What are the four main skill groups for an ML Product Manager?,"The four main skill groups are product strategy, product delivery, influencing, and tech fluency.",True,2025-09-13T18:20:07.518512Z
de20d414905a4516,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,What is the role of product strategy in ML product management?,"Product strategy involves understanding user needs, prioritizing problems, and focusing on delivering meaningful outcomes.",True,2025-09-13T18:20:07.518512Z
06f1579ead28894c,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,Why is tech fluency important for an ML Product Manager?,"Tech fluency allows PMs to communicate effectively with data teams, understand project challenges, and assess risks in AI projects.",True,2025-09-13T18:20:07.518512Z
7d8ef476533b20ef,https://medium.com/data-science/from-data-scientist-to-ml-ai-product-manager-39359bd44512,What is a key approach to product delivery for ML initiatives?,A key approach is to start with Minimum Viable Products (MVPs) and iteratively deliver value while continuously measuring impact.,False,2025-09-13T18:20:07.518512Z
20dbaf8190022d37,https://blog.langchain.com/launching-long-term-memory-support-in-langgraph,What new feature is announced in LangGraph for Python and JavaScript?,Long-term memory support allows storage and recall of information between conversations.,False,2025-09-13T18:22:43.014249Z
0df5b6ef4c2ccafa,https://blog.langchain.com/launching-long-term-memory-support-in-langgraph,How does LangGraph's memory feature improve AI functionality?,"It enables agents to learn from feedback and adapt to user preferences, overcoming the limitations of temporary memory.",False,2025-09-13T18:22:43.014249Z
decd26587902c8a4,https://blog.langchain.com/launching-long-term-memory-support-in-langgraph,What foundational element supports cross-thread memory in LangGraph?,A persistent document store allows agents to store and recall information across different conversation sessions.,False,2025-09-13T18:22:43.014249Z
4516ffb4cb069bac,https://blog.langchain.com/launching-long-term-memory-support-in-langgraph,What is a key capability of LangGraph's cross-thread memory?,Cross-Thread Persistence enables information recall across multiple conversation sessions.,False,2025-09-13T18:22:43.014249Z
4145106779cd1a72,https://blog.langchain.com/launching-long-term-memory-support-in-langgraph,What format is used for saving memories in LangGraph?,Memories are saved as JSON documents for easy manipulation and retrieval.,False,2025-09-13T18:22:43.014249Z
dabd0cf748d87b06,https://langchain-ai.github.io/langgraph/concepts/multi_agent,What is an agent in a multi-agent system?,"An agent is a system using an LLM to control application flow, potentially becoming complex over time.",False,2025-09-13T18:33:43.939451Z
7b9b746f757430a4,https://langchain-ai.github.io/langgraph/concepts/multi_agent,What are the main benefits of multi-agent systems?,"The benefits include modularity, specialization of expert agents, and explicit control over agent communication.",False,2025-09-13T18:33:43.939451Z
5d9dd1f1f41f59bf,https://langchain-ai.github.io/langgraph/concepts/multi_agent,Describe the network architecture in multi-agent systems.,"In network architecture, agents are interconnected, allowing any agent to communicate with others and determine follow-up actions.",False,2025-09-13T18:33:43.939451Z
c3c31ac5b3db41ac,https://langchain-ai.github.io/langgraph/concepts/multi_agent,What role does a supervisor play in a multi-agent system?,"The supervisor agent decides which other agents to call, facilitating parallel operations or map-reduce patterns.",False,2025-09-13T18:33:43.939451Z
ce7f410e1a53bfa9,https://langchain-ai.github.io/langgraph/concepts/multi_agent,What is a handoff in multi-agent architectures?,"A handoff allows one agent to transfer control to another, specifying a destination agent and payload data.",False,2025-09-13T18:33:43.939451Z
